,score
lebron james,1.7997840900126869
damian lillard,1.7666783115991382
russell westbrook,1.7494872077001269
james harden,1.7410221540967443
carmelo anthony,1.7045091660848168
stephen curry,1.6779854410328379
kobe bryant,1.666118936836344
derrick rose,1.6624977562956107
kyrie irving,1.6391333734864404
kemba walker,1.6231465223917692
tyreke evans,1.5936003613306677
klay thompson,1.5890272073466614
mnta ellis,1.5672504379559207
lamarcus aldridge,1.5583038908429194
kyle lowry,1.5553579664262132
blake griffin,1.5536446593668098
ryan anderson,1.5458339496519984
victor oladipo,1.5372874163174723
brandon knight,1.5281413559639452
eric bledsoe,1.5233346786488
jimmy butler,1.5207119577989792
wilson chandler,1.5167571645614926
brandon jennings,1.5045452546841629
gordon hayward,1.5018425723745095
kevin love,1.4889115029895272
jared sullinger,1.4784553608788074
chandler parsons,1.4718564753951444
evan fournier,1.4714781263973304
rudy gay,1.4693316429536984
demarcus cousins,1.4611672448254431
mike conley,1.460514897979079
goran dragic,1.4524700282681802
michael carter-williams,1.4415541590636871
trey burke,1.4320612461385407
john wall,1.4310441706455557
paul millsap,1.4295532522050758
chris bosh,1.426801614663356
anthony davis,1.421711260690051
jeff green,1.4197708634648012
jeff teague,1.4187641306180274
draymond green,1.4166268634875805
aaron brooks,1.4161793556369231
dwayne wade,1.4130671800667756
dj augustin,1.4109902929653249
darren collison,1.4104215979833754
isaiah thomas,1.4100510422745214
robert covington,1.4086263260507119
mario chalmers,1.405574253372865
reggie jackson,1.4023662034699775
manu ginobili,1.3964053927283642
ty lawson,1.3956493416998068
wesley matthews,1.3934846755567725
trevor ariza,1.3922561434033682
tobias harris,1.3903671535999051
joe johnson,1.3894581117023741
jrue holiday,1.3845929862805804
bradley beal,1.3794540861562297
kentavious caldwell-pope,1.3679919523120716
luc mbah a moute,1.3636120896466628
kj mcdaniels,1.3575903611208251
luol deng,1.3546643760882482
avery bradley,1.3508796726431167
ben mclemore,1.3502237704226869
andrew wiggins,1.3451276030116808
solomon hill,1.343602590216205
markieff morris,1.3355352699262175
matt barnes,1.326804635569903
deron williams,1.3223898979014856
nikola mirotic,1.3217779036165465
time hardaway jr,1.3212410805360744
cj miles,1.3184532546878165
kawhi leonard,1.3144236774913058
demarre carroll,1.311580606562331
serge ibaka,1.3055767430073104
zach lavine,1.3017267372292547
lou williams,1.2990557392823425
jamal crawford,1.2925941334172131
norris cole,1.2911257291398925
jeremy lin,1.286597036818097
nikola vucevic,1.2847090915739545
thaddeus young,1.2831568442147514
bojan bogdanovic,1.2810369918693012
boris diaw,1.2791065190957012
tony parker,1.2711358475314376
spencer hawes,1.2708113658185491
paul pierce,1.2692128170603001
patrick beverley,1.2636966425408425
devin harris,1.2623404475725226
danny green,1.2591131940139657
chris paul,1.2534764247615555
al horford,1.2512389371066843
harrison barnes,1.251128613655927
pj tucker,1.2509044719625166
lance stephenson,1.2472301046490801
jose juan barea,1.2468122403707638
enes kanter,1.2461446207566227
arron afflalo,1.2364562269545987
oj mayo,1.2363321141617325
pau gasol,1.23147816902763
gerald green,1.224697574656255
danilo gallinai,1.2226025053774434
greivis vasquez,1.2212113901792683
terrence ross,1.2187865087666307
marc gasol,1.2179764963861652
nick young,1.209143328989605
mike scott,1.2078429952740686
marcus smart,1.2055633528546434
dennis schroder,1.2045262506610657
zach randolph,1.202674666149903
khris middleton,1.1954898566261754
jordan hill,1.1923436082977306
hollis thompson,1.1889413646486113
brook lopez,1.1875827215430292
jarrett jack,1.186657854641924
andre iguodala,1.1843412066763668
marreese speights,1.1830670272831862
rodney stuckey,1.182940446176912
dirk nowtizski,1.1768710521645058
marcus morris,1.1646616270447034
alan anderson,1.1641867155187882
patrick patterson,1.1639514594461995
wayne ellington,1.1599997430885671
mo williams,1.1566064866540602
donatas motiejunas,1.1536813168247018
shane larkin,1.1524649551213997
kyle singler,1.1484797467712018
marco belinelli,1.1338451771549842
jerryd bayless,1.1328904276152816
david west,1.1215932195837879
cory joseph,1.118971696949377
nicolas batum,1.1135626393572777
giannis antetokounmpo,1.1129825944141185
gerald henderson,1.1095725133754875
al jefferson,1.1034655393434734
evan turner,1.1031012002915679
gary neal,1.0949298122083051
beno urdih,1.0901903922179479
jj redick,1.0894869015846749
cody zeller,1.0884092826085199
jared dudley,1.0761029782598701
luis scola,1.0750375114395714
wesley johnson,1.0692768763479488
courtney lee,1.0687565147326217
marvin williams,1.0602144560013333
rasual butler,1.0586525668904609
henry sims,1.0564910485974675
kris humphries,1.0533044187856966
anthony morrow,1.0327514673351652
brandon bass,1.0280124402685418
nene hilario,1.0266708437555609
brian roberts,1.025184251643942
darrell arthur,1.022093655857639
derrick favors,1.015577944054912
michael kidd-gilchrist,1.0135222486852489
jerami grant,1.0
joakim noah,0.98869515412857445
tim duncan,0.98112428011952435
jose calderon,0.97884318068760301
carlos boozer,0.97861869617479624
jason terry,0.9765260432332854
pero antic,0.96761439653691728
roy hibbert,0.9631307013337207
al farouq aminu,0.95508150585049734
amir johnson,0.94334264095066411
gorgui dieng,0.93564613432945176
jakarr sampson,0.9255783504099806
zaza pachulia,0.92385352200451609
kostas papanikolaou,0.92077235421768799
jonas jerebko,0.91891640721536194
elfrid payton,0.91497313305563288
leandro barbosa,0.91369649044003243
chris kaman,0.90590490505882637
nik stauskas,0.90434357634575613
thabo sefolosha,0.89921078247809505
kent bazemore,0.89896224044595585
nick collison,0.89839281127970017
derrick williams,0.89788346479742098
chris copeland,0.89659220213351087
jason smith,0.89598946976984628
richard jefferson,0.8893408178943063
kelly olynyk,0.88655287970695151
amare stoudemire,0.8855700236985613
marcus thornton,0.8781589086096393
timofey mozgov,0.87779164499644358
tony allen,0.87639140657845871
mirza teletovic,0.87468349869884099
donald sloan,0.86562256233356716
ronnie price,0.85768481884271419
nate robinson,0.84847536816086899
tony snell,0.84368231822320827
channing frye,0.84059531844332525
charlie villanueva,0.82711448308564917
chase budinger,0.82391333559186508
trevor booker,0.82349135613397828
jon ingles,0.81986958016955902
pablo prigioni,0.81902922890559893
cj mccollum,0.80334147478365892
vince carter,0.80138727840785462
nerles noel,0.79850015927337537
cj watson,0.79723581366572804
kyle oquinn,0.79516299684636271
marcin gortat,0.79247903852109047
kyle korver,0.79050371160776778
dante exum,0.78986440398656721
greg monroe,0.78940767034203096
garrett temple,0.78666490024817137
ray mccallum,0.78455294053758795
taj gibson,0.78410895918322543
quincy acy,0.78205105776176076
jeremy lamb,0.78043458235941099
otto porter,0.77325807575677685
shabazz napier,0.75945010617503939
ramon sessions,0.75801996355164025
kevin seraphin,0.75493164158172843
anthony bennett,0.7509307554097997
matt bonner,0.74746355850063129
shawne williams,0.74551136730967893
kenneth faried,0.7437231173586043
tyler zeller,0.73480590089676301
matthew dellavedova,0.72184829850630683
jon leuer,0.70830192098594136
dante cunningham,0.69234790913250199
tyson chandler,0.68860892573425703
lavoy allen,0.67666014842699274
shawn marion,0.67642487095034642
james johnson,0.66348704403459502
andre drummond,0.66195512399034051
jordan farmar,0.66088288587387156
shabazz muhammad,0.65978299474257707
steve blake,0.65952440366013154
damjan rudez,0.65717829490637669
jonas valanciunas,0.65698972318022875
jj hickson,0.65286547558334673
ben gordon,0.65036030719850024
caron butler,0.63810003886108246
omri casspi,0.63628293085354182
carl landry,0.63523364633531054
kirk hinrich,0.62521658817180903
kevin garnett,0.60486902312541391
tristan thompson,0.59427973041558857
jason thompson,0.59357772014333587
travis wear,0.57629006107276592
mason plumlee,0.56083006623996123
alex len,0.52402673269772193
deandre jordan,0.49561983863659753
aron baynes,0.46827820533009018
robert sacre,0.40817099547166907
ed davis,0.40786157402208845
shaun livingston,0.39998749432059005
jusuf nurkic,0.3794042890044827
alexis ajinca,0.37862599410024828
omer asik,0.34205757735085573
kosta koufos,0.2817729986169884
andrew bogut,0.21246515169837021
steve adams,0.13442307483498356
john henson,0.077105958393993979
cole aldrich,0.063130775731041422
dwight howard,0.047946398006055491
rudy gobert,0.0
